onetcode;onet19;soccode18;soc18;stem ;soc10;isco08;isco88;cbo02;ocup cbo
11307104;Supply Chain Managers;113071;Transportation, Storage, and Distribution Managers;0;113071;1324;1226;121010;Diretor de estabelecimento de ensino (exceto ensino superior)
11311100;Compensation and Benefits Managers;113111;Compensation and Benefits Managers;0;113111;1212;1232;142210;Gerente de pessoal
11312100;Human Resources Managers;113121;Human Resources Managers;0;113121;1212;1232;142210;Gerente de pessoal
11313100;Training and Development Managers;113131;Training and Development Managers;0;113131;1212;1232;142210;Gerente de pessoal
11901300;Farmers, Ranchers, and Other Agricultural Managers;119013;Farmers, Ranchers, and Other Agricultural Managers;0;119013;1311;1221;121010;Diretor de estabelecimento de ensino (exceto ensino superior)
11902100;Construction Managers;119021;Construction Managers;0;119021;1323;1223;121010;Diretor de estabelecimento de ensino (exceto ensino superior)
11903100;Education and Childcare Administrators, Preschool and Daycare;119031;Education and Childcare Administrators, Preschool and Daycare;0;119031;1341;1229;131305;Diretor de estabelecimento de ensino superior
11903200;Education Administrators, Kindergarten through Secondary;119032;Education Administrators, Kindergarten through Secondary;0;119032;1345;1229;131305;Diretor de estabelecimento de ensino superior
11903300;Education Administrators, Postsecondary;119033;Education Administrators, Postsecondary;0;119033;1345;1229;131305;Diretor de estabelecimento de ensino superior
11903900;Education Administrators, All Other;119039;Education Administrators, All Other;0;119039;1345;1229;131305;Diretor de estabelecimento de ensino superior
11904100;Architectural and Engineering Managers;119041;Architectural and Engineering Managers;1;119041;1223;1237;142605;Gerente de pesquisa e desenvolvimento
11904101;Biofuels/Biodiesel Technology and Product Development Managers;119041;Architectural and Engineering Managers;1;119041;1223;1237;142605;Gerente de pesquisa e desenvolvimento
11905100;Food Service Managers;119051;Food Service Managers;0;119051;1412;1225;121010;Diretor de estabelecimento de ensino (exceto ensino superior)
11907100;Gambling Managers;119071;Gambling Managers;0;119071;1431;1319;#N/D;#N/D
11907200;Entertainment and Recreation Managers, Except Gambling;119072;Entertainment and Recreation Managers, Except Gambling;0;119199;1114;1141;#N/D;#N/D
11908100;Lodging Managers;119081;Lodging Managers;0;119081;1411;1225;121010;Diretor de estabelecimento de ensino (exceto ensino superior)
11911100;Medical and Health Services Managers;119111;Medical and Health Services Managers;1;119111;1342;1229;131305;Diretor de estabelecimento de ensino superior
11912100;Natural Sciences Managers;119121;Natural Sciences Managers;1;119121;1223;1237;142605;Gerente de pesquisa e desenvolvimento
11912101;Clinical Research Coordinators;119121;Natural Sciences Managers;1;119121;1223;1237;142605;Gerente de pesquisa e desenvolvimento
11912102;Water Resource Specialists;119121;Natural Sciences Managers;1;119121;1223;1237;142605;Gerente de pesquisa e desenvolvimento
11913100;Postmasters and Mail Superintendents;119131;Postmasters and Mail Superintendents;0;119131;1219;1227;121010;Diretor de estabelecimento de ensino (exceto ensino superior)
11914100;Property, Real Estate, and Community Association Managers;119141;Property, Real Estate, and Community Association Managers;0;119141;3334;3413;354605;Corretor de imóveis
11915100;Social and Community Service Managers;119151;Social and Community Service Managers;0;119151;1344;1229;131305;Diretor de estabelecimento de ensino superior
11916100;Emergency Management Directors;119161;Emergency Management Directors;0;119161;1112;1120;111405;Funcionário público federal superior
11917100;Funeral Home Managers;119171;Funeral Home Managers;0;119061;1219;1227;121010;Diretor de estabelecimento de ensino (exceto ensino superior)
11917900;Personal Service Managers, All Other;119179;Personal Service Managers, All Other;0;119199;1114;1141;#N/D;#N/D
11917901;Fitness and Wellness Coordinators;119179;Personal Service Managers, All Other;0;119199;1114;1141;#N/D;#N/D
11917902;Spa Managers;119179;Personal Service Managers, All Other;0;119199;1114;1141;#N/D;#N/D
11919900;Managers, All Other;119199;Managers, All Other;0;119199;1114;1141;#N/D;#N/D
11919901;Regulatory Affairs Managers;119199;Managers, All Other;0;119199;1114;1141;#N/D;#N/D
11919902;Compliance Managers;119199;Managers, All Other;0;119199;1114;1141;#N/D;#N/D
11919908;Loss Prevention Managers;119199;Managers, All Other;0;119199;1114;1141;#N/D;#N/D
11919909;Wind Energy Operations Managers;119199;Managers, All Other;0;119199;1114;1141;#N/D;#N/D
11919910;Wind Energy Development Managers;119199;Managers, All Other;0;119199;1114;1141;#N/D;#N/D
11919911;Brownfield Redevelopment Specialists and Site Managers;119199;Managers, All Other;0;119199;1114;1141;#N/D;#N/D
13101100;Agents and Business Managers of Artists, Performers, and Athletes;131011;Agents and Business Managers of Artists, Performers, and Athletes;0;131011;3339;2419;252105;Administrador
13102100;Buyers and Purchasing Agents, Farm Products;131021;Buyers and Purchasing Agents, Farm Products;0;131021;3323;3416;354210;Supervisor de compras
13102200;Wholesale and Retail Buyers, Except Farm Products;131022;Wholesale and Retail Buyers, Except Farm Products;0;131022;3323;3416;354210;Supervisor de compras
13102300;Purchasing Agents, Except Wholesale, Retail, and Farm Products;131023;Purchasing Agents, Except Wholesale, Retail, and Farm Products;0;131023;3323;3416;354210;Supervisor de compras
13103100;Claims Adjusters, Examiners, and Investigators;131031;Claims Adjusters, Examiners, and Investigators;0;131031;3315;3417;354405;Leiloeiro
13103200;Insurance Appraisers, Auto Damage;131032;Insurance Appraisers, Auto Damage;0;131032;3315;3417;354405;Leiloeiro
13104100;Compliance Officers;131041;Compliance Officers;0;131041;3351;3441;#N/D;#N/D
13104101;Environmental Compliance Inspectors;131041;Compliance Officers;0;131041;3351;3441;#N/D;#N/D
13104103;Equal Opportunity Representatives and Officers;131041;Compliance Officers;0;131041;3351;3441;#N/D;#N/D
13104104;Government Property Inspectors and Investigators;131041;Compliance Officers;0;131041;3351;3441;#N/D;#N/D
13104106;Coroners;131041;Compliance Officers;0;131041;3351;3441;#N/D;#N/D
13104107;Regulatory Affairs Specialists;131041;Compliance Officers;0;131041;3351;3441;#N/D;#N/D
13104108;Customs Brokers;131041;Compliance Officers;0;131041;3351;3441;#N/D;#N/D
13105100;Cost Estimators;131051;Cost Estimators;0;131051;3339;2419;252105;Administrador
13107100;Human Resources Specialists;131071;Human Resources Specialists;0;131071;2423;2412;252405;Analista de ocupações
13107400;Farm Labor Contractors;131074;Farm Labor Contractors;0;131074;3333;3423;351305;Técnico de economia doméstica
13107500;Labor Relations Specialists;131075;Labor Relations Specialists;0;131075;2423;2412;252405;Analista de ocupações
13108100;Logisticians;131081;Logisticians;0;131081;2421;2419;252105;Administrador
13108101;Logistics Engineers;131081;Logisticians;0;131081;2421;2419;252105;Administrador
13108102;Logistics Analysts;131081;Logisticians;0;131081;2421;2419;252105;Administrador
13108200;Project Management Specialists;131082;Project Management Specialists;0;119199;1114;1141;#N/D;#N/D
13111100;Management Analysts;131111;Management Analysts;0;131111;2421;2419;252105;Administrador
13112100;Meeting, Convention, and Event Planners;131121;Meeting, Convention, and Event Planners;0;131121;3332;3439;411010;Agente administrativo
13113100;Fundraisers;131131;Fundraisers;0;131131;4214;4215;413230;Analista de crédito e cobrança
13114100;Compensation, Benefits, and Job Analysis Specialists;131141;Compensation, Benefits, and Job Analysis Specialists;0;131141;2423;2412;252405;Analista de ocupações
13115100;Training and Development Specialists;131151;Training and Development Specialists;0;131151;2356;2359;#N/D;#N/D
13116100;Market Research Analysts and Marketing Specialists;131161;Market Research Analysts and Marketing Specialists;0;131161;2431;2419;252105;Administrador
13116101;Search Marketing Strategists;131161;Market Research Analysts and Marketing Specialists;0;131161;2431;2419;252105;Administrador
13119900;Business Operations Specialists, All Other;131199;Business Operations Specialists, All Other;0;131199;2422;2419;252105;Administrador
13119904;Business Continuity Planners;131199;Business Operations Specialists, All Other;0;131199;2422;2419;252105;Administrador
13119905;Sustainability Specialists;131199;Business Operations Specialists, All Other;0;131199;2422;2419;252105;Administrador
13119906;Online Merchants;131199;Business Operations Specialists, All Other;0;131199;2422;2419;252105;Administrador
13119907;Security Management Specialists;131199;Business Operations Specialists, All Other;0;131199;2422;2419;252105;Administrador
13201100;Accountants and Auditors;132011;Accountants and Auditors;0;132011;2411;2411;252205;Auditor contábil
13202200;Appraisers of Personal and Business Property;132022;Appraisers of Personal and Business Property;0;132021;3315;3417;354405;Leiloeiro
13202300;Appraisers and Assessors of Real Estate;132023;Appraisers and Assessors of Real Estate;0;132021;3315;3417;354405;Leiloeiro
13203100;Budget Analysts;132031;Budget Analysts;0;132031;2411;2411;252205;Auditor contábil
13204100;Credit Analysts;132041;Credit Analysts;0;132041;2413;2419;252105;Administrador
13205100;Financial and Investment Analysts;132051;Financial and Investment Analysts;0;132051;2412;2411;252205;Auditor contábil
13205200;Personal Financial Advisors;132052;Personal Financial Advisors;0;132052;2412;2411;252205;Auditor contábil
13205300;Insurance Underwriters;132053;Insurance Underwriters;0;132053;3321;3412;351720;Assistente técnico de seguros
13205400;Financial Risk Specialists;132054;Financial Risk Specialists;0;132051;2412;2411;252205;Auditor contábil
13206100;Financial Examiners;132061;Financial Examiners;0;132061;2413;2419;252105;Administrador
13207100;Credit Counselors;132071;Credit Counselors;0;132071;3312;3419;#N/D;#N/D
13207200;Loan Officers;132072;Loan Officers;0;132072;3312;3419;#N/D;#N/D
13208100;Tax Examiners and Collectors, and Revenue Agents;132081;Tax Examiners and Collectors, and Revenue Agents;0;132081;3352;3442;254415;Técnico de tributos
13208200;Tax Preparers;132082;Tax Preparers;0;132082;2411;2411;252205;Auditor contábil
13209900;Financial Specialists, All Other;132099;Financial Specialists, All Other;0;132099;3339;2419;252105;Administrador
13209901;Financial Quantitative Analysts;132099;Financial Specialists, All Other;0;132099;3339;2419;252105;Administrador
13209904;Fraud Examiners, Investigators and Analysts;132099;Financial Specialists, All Other;0;132099;3339;2419;252105;Administrador
15121100;Computer Systems Analysts;151211;Computer Systems Analysts;1;151121;2511;2131;212405;Analista de sistemas
15121101;Health Informatics Specialists;151211;Computer Systems Analysts;1;151121;2511;2131;212405;Analista de sistemas
15121200;Information Security Analysts;151212;Information Security Analysts;1;151122;2529;2139;#N/D;#N/D
15122100;Computer and Information Research Scientists;151221;Computer and Information Research Scientists;1;151111;2511;2131;212405;Analista de sistemas
15123100;Computer Network Support Specialists;151231;Computer Network Support Specialists;1;151152;3513;3121;142510;Gerente de programação
15123200;Computer User Support Specialists;151232;Computer User Support Specialists;1;151151;3512;3121;142510;Gerente de programação
15124100;Computer Network Architects;151241;Computer Network Architects;1;151143;2523;2131;212405;Analista de sistemas
15124101;Telecommunications Engineering Specialists;151241;Computer Network Architects;1;151143;2523;2131;212405;Analista de sistemas
15124200;Database Administrators;151242;Database Administrators;1;151141;2521;2131;212405;Analista de sistemas
15124300;Database Architects;151243;Database Architects;1;151141;2521;2131;212405;Analista de sistemas
15124301;Data Warehousing Specialists;151243;Database Architects;1;151141;2521;2131;212405;Analista de sistemas
15124400;Network and Computer Systems Administrators;151244;Network and Computer Systems Administrators;1;151142;2522;2131;212405;Analista de sistemas
15125100;Computer Programmers;151251;Computer Programmers;1;151131;2514;2132;#N/D;#N/D
15125200;Software Developers;151252;Software Developers;1;151132;2512;2131;212405;Analista de sistemas
15125300;Software Quality Assurance Analysts and Testers;151253;Software Quality Assurance Analysts and Testers;1;151132;2512;2131;212405;Analista de sistemas
15125400;Web Developers;151254;Web Developers;1;151134;2513;2131;212405;Analista de sistemas
15125500;Web and Digital Interface Designers;151255;Web and Digital Interface Designers;1;151134;2513;2131;212405;Analista de sistemas
15125501;Video Game Designers;151255;Web and Digital Interface Designers;1;151134;2513;2131;212405;Analista de sistemas
15129900;Computer Occupations, All Other;151299;Computer Occupations, All Other;1;151199;2519;2131;212405;Analista de sistemas
15129901;Web Administrators;151299;Computer Occupations, All Other;1;151199;2519;2131;212405;Analista de sistemas
15129902;Geographic Information Systems Technologists and Technicians;151299;Computer Occupations, All Other;1;151199;2519;2131;212405;Analista de sistemas
15129903;Document Management Specialists;151299;Computer Occupations, All Other;1;151199;2519;2131;212405;Analista de sistemas
15129904;Penetration Testers;151299;Computer Occupations, All Other;1;151199;2519;2131;212405;Analista de sistemas
15129905;Information Security Engineers;151299;Computer Occupations, All Other;1;151199;2519;2131;212405;Analista de sistemas
15129906;Digital Forensics Analysts;151299;Computer Occupations, All Other;1;151199;2519;2131;212405;Analista de sistemas
15129907;Blockchain Engineers;151299;Computer Occupations, All Other;1;151199;2519;2131;212405;Analista de sistemas
15129908;Computer Systems Engineers/Architects;151299;Computer Occupations, All Other;1;151199;2519;2131;212405;Analista de sistemas
15129909;Information Technology Project Managers;151299;Computer Occupations, All Other;1;151199;2519;2131;212405;Analista de sistemas
15201100;Actuaries;152011;Actuaries;1;152011;2120;2121;211115;Matemático
15202100;Mathematicians;152021;Mathematicians;1;152021;2120;2121;211115;Matemático
15203100;Operations Research Analysts;152031;Operations Research Analysts;1;152031;2120;2121;211115;Matemático
15204100;Statisticians;152041;Statisticians;1;152041;2120;2121;211115;Matemático
15204101;Biostatisticians;152041;Statisticians;1;152041;2120;2121;211115;Matemático
15205100;Data Scientists;152051;Data Scientists;1;152099;3314;3434;424125;Técnico de estatística
15205101;Business Intelligence Analysts;152051;Data Scientists;1;152099;3314;3434;424125;Técnico de estatística
15205102;Clinical Data Managers;152051;Data Scientists;1;152099;3314;3434;424125;Técnico de estatística
15209900;Mathematical Science Occupations, All Other;152099;Mathematical Science Occupations, All Other;1;152091;3314;3434;424125;Técnico de estatística
15209901;Bioinformatics Technicians;152099;Mathematical Science Occupations, All Other;1;152091;3314;3434;424125;Técnico de estatística
17101100;Architects, Except Landscape and Naval;171011;Architects, Except Landscape and Naval;1;171011;2161;2141;214105;Arquiteto
17101200;Landscape Architects;171012;Landscape Architects;1;171012;2162;2141;214105;Arquiteto
17102100;Cartographers and Photogrammetrists;171021;Cartographers and Photogrammetrists;1;171021;2165;2148;214805;Engenheiro agrimensor
17102200;Surveyors;171022;Surveyors;1;171022;2165;2148;214805;Engenheiro agrimensor
17102201;Geodetic Surveyors;171022;Surveyors;1;171022;2165;2148;214805;Engenheiro agrimensor
17201100;Aerospace Engineers;172011;Aerospace Engineers;1;172011;2144;2145;214405;Engenheiro de operação (mecânica)
17202100;Agricultural Engineers;172021;Agricultural Engineers;1;172021;2144;2145;214405;Engenheiro de operação (mecânica)
17203100;Bioengineers and Biomedical Engineers;172031;Bioengineers and Biomedical Engineers;1;172031;2149;2149;214510;Engenheiro de operação (têxtil)
17204100;Chemical Engineers;172041;Chemical Engineers;1;172041;2145;2146;214525;Engenheiro químico (petróleo)
17205100;Civil Engineers;172051;Civil Engineers;1;172051;2142;2142;214215;Engenheiro civil (edificações)
17205101;Transportation Engineers;172051;Civil Engineers;1;172051;2142;2142;214215;Engenheiro civil (edificações)
17205102;Water/Wastewater Engineers;172051;Civil Engineers;1;172051;2142;2142;214215;Engenheiro civil (edificações)
17206100;Computer Hardware Engineers;172061;Computer Hardware Engineers;1;172061;2152;2144;203215;Pesquisador de telecomunicações
17207100;Electrical Engineers;172071;Electrical Engineers;1;172071;2151;2143;214305;Engenheiro de operação (eletrotécnica)
17207200;Electronics Engineers, Except Computer;172072;Electronics Engineers, Except Computer;1;172072;2153;2144;203215;Pesquisador de telecomunicações
17207201;Radio Frequency Identification Device Specialists;172072;Electronics Engineers, Except Computer;1;172072;2153;2144;203215;Pesquisador de telecomunicações
17208100;Environmental Engineers;172081;Environmental Engineers;1;172081;2143;2149;214510;Engenheiro de operação (têxtil)
17211100;Health and Safety Engineers, Except Mining Safety Engineers and Inspectors;172111;Health and Safety Engineers, Except Mining Safety Engineers and Inspectors;1;172111;2149;2149;214510;Engenheiro de operação (têxtil)
17211102;Fire-Prevention and Protection Engineers;172111;Health and Safety Engineers, Except Mining Safety Engineers and Inspectors;1;172111;2149;2149;214510;Engenheiro de operação (têxtil)
17211200;Industrial Engineers;172112;Industrial Engineers;1;172112;2141;2149;214510;Engenheiro de operação (têxtil)
17211201;Human Factors Engineers and Ergonomists;172112;Industrial Engineers;1;172112;2141;2149;214510;Engenheiro de operação (têxtil)
17211202;Validation Engineers;172112;Industrial Engineers;1;172112;2141;2149;214510;Engenheiro de operação (têxtil)
17211203;Manufacturing Engineers;172112;Industrial Engineers;1;172112;2141;2149;214510;Engenheiro de operação (têxtil)
17212100;Marine Engineers and Naval Architects;172121;Marine Engineers and Naval Architects;1;172121;2144;2145;214405;Engenheiro de operação (mecânica)
17213100;Materials Engineers;172131;Materials Engineers;1;172131;2146;2147;214610;Engenheiro de operação (metalurgia)
17214100;Mechanical Engineers;172141;Mechanical Engineers;1;172141;2144;2145;214405;Engenheiro de operação (mecânica)
17214101;Fuel Cell Engineers;172141;Mechanical Engineers;1;172141;2144;2145;214405;Engenheiro de operação (mecânica)
17214102;Automotive Engineers;172141;Mechanical Engineers;1;172141;2144;2145;214405;Engenheiro de operação (mecânica)
17215100;Mining and Geological Engineers, Including Mining Safety Engineers;172151;Mining and Geological Engineers, Including Mining Safety Engineers;1;172151;2146;2147;214610;Engenheiro de operação (metalurgia)
17216100;Nuclear Engineers;172161;Nuclear Engineers;1;172161;2149;2149;214510;Engenheiro de operação (têxtil)
17217100;Petroleum Engineers;172171;Petroleum Engineers;1;172171;2146;2147;214610;Engenheiro de operação (metalurgia)
17219900;Engineers, All Other;172199;Engineers, All Other;1;172199;2149;2149;214510;Engenheiro de operação (têxtil)
17219903;Energy Engineers, Except Wind and Solar;172199;Engineers, All Other;1;172199;2149;2149;214510;Engenheiro de operação (têxtil)
17219905;Mechatronics Engineers;172199;Engineers, All Other;1;172199;2149;2149;214510;Engenheiro de operação (têxtil)
17219906;Microsystems Engineers;172199;Engineers, All Other;1;172199;2149;2149;214510;Engenheiro de operação (têxtil)
17219907;Photonics Engineers;172199;Engineers, All Other;1;172199;2149;2149;214510;Engenheiro de operação (têxtil)
17219908;Robotics Engineers;172199;Engineers, All Other;1;172199;2149;2149;214510;Engenheiro de operação (têxtil)
17219909;Nanosystems Engineers;172199;Engineers, All Other;1;172199;2149;2149;214510;Engenheiro de operação (têxtil)
17219910;Wind Energy Engineers;172199;Engineers, All Other;1;172199;2149;2149;214510;Engenheiro de operação (têxtil)
17219911;Solar Energy Systems Engineers;172199;Engineers, All Other;1;172199;2149;2149;214510;Engenheiro de operação (têxtil)
17301100;Architectural and Civil Drafters;173011;Architectural and Civil Drafters;1;173011;3118;3118;318430;Desenhista Técnico Industrial
17301200;Electrical and Electronics Drafters;173012;Electrical and Electronics Drafters;1;173012;3118;3118;318430;Desenhista Técnico Industrial
17301300;Mechanical Drafters;173013;Mechanical Drafters;1;173013;3118;3118;318430;Desenhista Técnico Industrial
17301900;Drafters, All Other;173019;Drafters, All Other;1;173019;3118;3118;318430;Desenhista Técnico Industrial
17302100;Aerospace Engineering and Operations Technologists and Technicians;173021;Aerospace Engineering and Operations Technologists and Technicians;1;173021;3115;3115;314310;Técnico mecânico (aeronaves)
17302200;Civil Engineering Technologists and Technicians;173022;Civil Engineering Technologists and Technicians;1;173022;3112;3112;312105;Técnico de obras civis
17302300;Electrical and Electronic Engineering Technologists and Technicians;173023;Electrical and Electronic Engineering Technologists and Technicians;1;173023;3113;3113;313120;Técnico de manutenção elétrica
17302400;Electro-Mechanical and Mechatronics Technologists and Technicians;173024;Electro-Mechanical and Mechatronics Technologists and Technicians;1;173024;3113;3113;313120;Técnico de manutenção elétrica
17302401;Robotics Technicians;173024;Electro-Mechanical and Mechatronics Technologists and Technicians;1;173024;3113;3113;313120;Técnico de manutenção elétrica
17302500;Environmental Engineering Technologists and Technicians;173025;Environmental Engineering Technologists and Technicians;1;173025;3119;3119;311615;Técnico têxtil (fiação)
17302600;Industrial Engineering Technologists and Technicians;173026;Industrial Engineering Technologists and Technicians;1;173026;3119;3119;311615;Técnico têxtil (fiação)
17302601;Nanotechnology Engineering Technologists and Technicians;173026;Industrial Engineering Technologists and Technicians;1;173026;3119;3119;311615;Técnico têxtil (fiação)
17302700;Mechanical Engineering Technologists and Technicians;173027;Mechanical Engineering Technologists and Technicians;1;173027;3115;3115;314310;Técnico mecânico (aeronaves)
17302701;Automotive Engineering Technicians;173027;Mechanical Engineering Technologists and Technicians;1;173027;3115;3115;314310;Técnico mecânico (aeronaves)
17302800;Calibration Technologists and Technicians;173028;Calibration Technologists and Technicians;1;173029;3115;3115;314310;Técnico mecânico (aeronaves)
17302900;Engineering Technologists and Technicians, Except Drafters, All Other;173029;Engineering Technologists and Technicians, Except Drafters, All Other;1;173029;3115;3115;314310;Técnico mecânico (aeronaves)
17302901;Non-Destructive Testing Specialists;173029;Engineering Technologists and Technicians, Except Drafters, All Other;1;173029;3115;3115;314310;Técnico mecânico (aeronaves)
17302908;Photonics Technicians;173029;Engineering Technologists and Technicians, Except Drafters, All Other;1;173029;3115;3115;314310;Técnico mecânico (aeronaves)
17303100;Surveying and Mapping Technicians;173031;Surveying and Mapping Technicians;1;173031;3112;3112;312105;Técnico de obras civis
19101100;Animal Scientists;191011;Animal Scientists;1;191011;2131;2211;203025;Botânico
19101200;Food Scientists and Technologists;191012;Food Scientists and Technologists;1;191012;2131;2211;203025;Botânico
19101300;Soil and Plant Scientists;191013;Soil and Plant Scientists;1;191013;2131;2211;203025;Botânico
19102100;Biochemists and Biophysicists;191021;Biochemists and Biophysicists;1;191021;2131;2211;203025;Botânico
19102200;Microbiologists;191022;Microbiologists;1;191022;2131;2211;203025;Botânico
19102300;Zoologists and Wildlife Biologists;191023;Zoologists and Wildlife Biologists;1;191023;2131;2211;203025;Botânico
19102900;Biological Scientists, All Other;191029;Biological Scientists, All Other;1;191029;2131;2211;203025;Botânico
19102901;Bioinformatics Scientists;191029;Biological Scientists, All Other;1;191029;2131;2211;203025;Botânico
19102902;Molecular and Cellular Biologists;191029;Biological Scientists, All Other;1;191029;2131;2211;203025;Botânico
19102903;Geneticists;191029;Biological Scientists, All Other;1;191029;2131;2211;203025;Botânico
19102904;Biologists;191029;Biological Scientists, All Other;1;191029;2131;2211;203025;Botânico
19103100;Conservation Scientists;191031;Conservation Scientists;1;191031;2133;2211;203025;Botânico
19103102;Range Managers;191031;Conservation Scientists;1;191031;2133;2211;203025;Botânico
19103103;Park Naturalists;191031;Conservation Scientists;1;191031;2133;2211;203025;Botânico
19103200;Foresters;191032;Foresters;1;191032;2132;2213;222110;Engenheiro agrônomo
19104100;Epidemiologists;191041;Epidemiologists;1;191041;2131;2211;203025;Botânico
19104200;Medical Scientists, Except Epidemiologists;191042;Medical Scientists, Except Epidemiologists;1;191042;2131;2211;203025;Botânico
19109900;Life Scientists, All Other;191099;Life Scientists, All Other;1;191099;2131;2211;203025;Botânico
19201100;Astronomers;192011;Astronomers;1;192011;2111;2111;213150;Físico (medicina)
19201200;Physicists;192012;Physicists;1;192012;2111;2111;213150;Físico (medicina)
19202100;Atmospheric and Space Scientists;192021;Atmospheric and Space Scientists;1;192021;2112;2112;213315;Meteorologista
19203100;Chemists;192031;Chemists;1;192031;2113;2113;213205;Químico
19203200;Materials Scientists;192032;Materials Scientists;1;192032;2113;2113;213205;Químico
19204100;Environmental Scientists and Specialists, Including Health;192041;Environmental Scientists and Specialists, Including Health;1;192041;2133;2211;203025;Botânico
19204101;Climate Change Policy Analysts;192041;Environmental Scientists and Specialists, Including Health;1;192041;2133;2211;203025;Botânico
19204102;Environmental Restoration Planners;192041;Environmental Scientists and Specialists, Including Health;1;192041;2133;2211;203025;Botânico
19204103;Industrial Ecologists;192041;Environmental Scientists and Specialists, Including Health;1;192041;2133;2211;203025;Botânico
19204200;Geoscientists, Except Hydrologists and Geographers;192042;Geoscientists, Except Hydrologists and Geographers;1;192042;2114;2114;213415;Geofísico
19204300;Hydrologists;192043;Hydrologists;1;192043;2114;2114;213415;Geofísico
19209900;Physical Scientists, All Other;192099;Physical Scientists, All Other;1;192099;211;#N/D;#N/D;#N/D
19209901;Remote Sensing Scientists and Technologists;192099;Physical Scientists, All Other;1;192099;211;#N/D;#N/D;#N/D
19301100;Economists;193011;Economists;1;193011;2631;2441;251225;Economista (mercadologia)
19301101;Environmental Economists;193011;Economists;1;193011;2631;2441;251225;Economista (mercadologia)
19302200;Survey Researchers;193022;Survey Researchers;1;193022;2120;2121;211115;Matemático
19303200;Industrial-Organizational Psychologists;193032;Industrial-Organizational Psychologists;1;193032;2634;2445;251540;Psicólogo do trabalho
19303300;Clinical and Counseling Psychologists;193033;Clinical and Counseling Psychologists;1;193031;2634;2445;251540;Psicólogo do trabalho
19303400;School Psychologists;193034;School Psychologists;1;193031;2634;2445;251540;Psicólogo do trabalho
19303900;Psychologists, All Other;193039;Psychologists, All Other;1;193039;2634;2445;251540;Psicólogo do trabalho
19303902;Neuropsychologists;193039;Psychologists, All Other;1;193039;2634;2445;251540;Psicólogo do trabalho
19303903;Clinical Neuropsychologists;193039;Psychologists, All Other;1;193039;2634;2445;251540;Psicólogo do trabalho
19304100;Sociologists;193041;Sociologists;1;193041;2632;2442;251120;Sociólogo
19305100;Urban and Regional Planners;193051;Urban and Regional Planners;1;193051;2164;2141;214105;Arquiteto
